sentence,label
怎么调理呢     不是说三个月之内会子宫内膜会自己慢慢恢复吗,咨询治疗方式
怎么回事不知道,咨询病因
炎症方面的？,咨询项目介绍
就会引起吗,咨询病因
男的不孕不育难治吗,咨询疗效
在这里聊一下。,无
我跟男朋友同房，可是那个套坏了，我该吃什么避孕药,咨询药物
你确定医院能查出来，我就去医院看看,咨询检查方式
那都发生了怎么办,咨询治疗方式
她就说如果不适应可以取,描述就诊史
取环一个月怀孕能要吗,描述就诊史
你说我能做宫腔镜吗现在,咨询检查最佳时间
怎样让胸部变大？,咨询治疗方式
是专治不孕的医院,无
对这个医院不是很熟,无
我把报告发给你你回话了我在决定,无
会病变？,咨询危害
你好月经量减少是雌激素低吗,咨询病因
几百啊,咨询价格
有哪几种情况,无
还有救吗他,咨询疗效
严不严重能不能治,咨询治疗方式
不会影响效果吗,咨询危害
要吃药才会来,描述症状
刚发给你了,确定联系意愿
应该可以同房了吧,无
好吧，那天去医院查哈,确定预约时间
加开药那些,无
还没看到医生,无
通水之间要隔一个月是不是呢,咨询恢复期
我这种会出现什么情况呢,咨询危害
我现在着急找钱。你大概给我说，然后我去找钱。,咨询价格
哪里去找,无
你添加我的微信，我发给你看看,确定联系意愿
我是否可以换方案,咨询治疗方式
那你从微信上发过来吧。,确定联系意愿
你好，大宝都快十一岁了，2012年做过一次人流。之后也没有采取避孕，至现在一直没有怀上。去年去医院查了，说我激素抗精。请问怎么调理呢？,咨询治疗方式
原因是，发育不好导致胎儿不稳定,描述症状
做试管婴儿对省体有哪些要求,咨询术前准备
会失效吗,咨询疗效
在药店可以买到吗,无
我想问你的是。过了排卵期。可不可以同房,无
我是问那个怎么做,无
有女护士吗,无
白带癌变筛查,咨询检查方式
男生变成黄色怎么办,咨询治疗方式
怎样才能把精子和卵子结合,咨询治疗方式
好的，空了来看下,确定预约时间
那消炎针是否一定要打，我在吃消炎药,描述就诊史
那就不用吃消炎药了,无
那现在可以同房吗,无
可以在你们医院吗？,确定预约时间
可以用语音。,咨询电话
多久才能好,咨询恢复期
就像问问一般情况需不需要做理疗,咨询治疗方式
才300多,无
好的，马上加您微信,确定联系意愿
